FA-DOMID,FA-PDBID,FA-PDBREG,FA-UNIID,FA-UNIREG,SF-DOMID,SF-PDBID,SF-PDBREG,SF-UNIID,SF-UNIREG,SCOPCLA,TP,CL,CF,SF,FA
8094828,6IFH,A:1-119,A0A4V8GZZ1,1-119,8094829,6IFH,A:1-119,A0A4V8GZZ1,1-119,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8094976,5WQ0,B:1-126,A0A1W2VN00,1-126,8094977,5WQ0,B:1-126,A0A1W2VN00,1-126,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8094978,5WQ0,D:-3-125,A0A1W2VN01,1-129,8094979,5WQ0,D:-3-125,A0A1W2VN01,1-129,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8095472,6IS1,H:2-120,Q2YY03,2-120,8095473,6IS1,H:2-120,Q2YY03,2-120,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8096155,5IEB,A:1-116,A0A0D1MA58,1-116,8096156,5IEB,A:1-116,A0A0D1MA58,1-116,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8096203,6EBR,A:2-119,A0A0H2UQ68,2-119,8096204,6EBR,A:2-119,A0A0H2UQ68,2-119,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8096501,5IEJ,A:1-118,A0A1C7D1A8,1-118,8096502,5IEJ,A:1-118,A0A1C7D1A8,1-118,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8096607,5LWK,A:1-122,A0A247D6V8,1-122,8096608,5LWK,A:1-122,A0A247D6V8,1-122,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8096609,5LWL,B:2-121,A0A247D6V9,3-122,8096610,5LWL,B:2-121,A0A247D6V9,3-122,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8096731,6VBF,A:6-125,A0A380UY17,6-125,8096732,6VBF,A:6-125,A0A380UY17,6-125,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8096969,6ONT,A:4-125,A0Q7V5,4-124,8096970,6ONT,A:4-125,A0Q7V5,4-124,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8097261,6SWF,A:3-130,B3EYL7,3-130,8097262,6SWF,A:3-130,B3EYL7,3-130,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8098421,5DKF,B:2-129,P0AE68,2-129,8098422,5DKF,B:2-129,P0AE68,2-129,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8099121,6SWL,A:1-133,Q09LZ6,1-133,8099122,6SWL,A:1-133,Q09LZ6,1-133,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8101340,3ILH,A:5-136,A0A6N4SQL8,5-136,8101341,3ILH,A:5-136,A0A6N4SQL8,5-136,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8101702,4MLD,D:1-133,Q8DMW5,1-133,8101703,4MLD,D:1-133,Q8DMW5,1-133,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8103049,7E90,A:1-116,Q87HP4,1-116,8103050,7E90,A:1-116,Q87HP4,1-116,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8103509,7CFW,A:513-635,Q9I3B1,513-635,8103510,7CFW,A:513-635,Q9I3B1,513-635,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8104014,6XVU,D:7-147,Q9RZA5,7-147,8104015,6XVU,D:7-147,Q9RZA5,7-147,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8105613,7M0S,A:1-124,A0A517D2C4,1-124,8105614,7M0S,A:1-124,A0A517D2C4,1-124,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8045706,5HUQ,A:2-424,F9USS9,2-424,8091607,5HUQ,A:37-272,F9USS9,37-272,"TP=1,CL=1000002,CF=2001471,SF=3002525,FA=4004630",1,1000002,2001471,3002525,4004630
8045707,2YJG,A:2-426,D9TQ02,2-426,8091609,2YJG,A:37-272,D9TQ02,37-272,"TP=1,CL=1000002,CF=2001471,SF=3002525,FA=4004630",1,1000002,2001471,3002525,4004630
8045708,4NAR,A:4-423,Q9WYS3,4-423,8091611,4NAR,A:10-262,Q9WYS3,10-262,"TP=1,CL=1000002,CF=2001471,SF=3002525,FA=4004630",1,1000002,2001471,3002525,4004630
8019846,1J2M,A:1-99,O18734,22-120,8032226,1J2M,A:1-99,O18734,22-120,"TP=1,CL=1000000,CF=2000736,SF=3001157,FA=4002373",1,1000000,2000736,3001157,4002373
8045706,5HUQ,A:2-424,F9USS9,2-424,8091608,5HUQ,A:278-419,F9USS9,278-419,"TP=1,CL=1000002,CF=2000683,SF=3002526,FA=4004630",1,1000002,2000683,3002526,4004630
8045707,2YJG,A:2-426,D9TQ02,2-426,8091610,2YJG,A:278-420,D9TQ02,278-420,"TP=1,CL=1000002,CF=2000683,SF=3002526,FA=4004630",1,1000002,2000683,3002526,4004630
8045708,4NAR,A:4-423,Q9WYS3,4-423,8091612,4NAR,A:269-416,Q9WYS3,269-416,"TP=1,CL=1000002,CF=2000683,SF=3002526,FA=4004630",1,1000002,2000683,3002526,4004630
8025639,1OZJ,A:7-132,P84022,7-132,8038018,1OZJ,A:7-132,P84022,7-132,"TP=1,CL=1000003,CF=2000735,SF=3001158,FA=4002374",1,1000003,2000735,3001158,4002374
8083633,5X6G,B:11-133,P97454,11-133,8083634,5X6G,B:11-133,P97454,11-133,"TP=1,CL=1000003,CF=2000735,SF=3001158,FA=4002374",1,1000003,2000735,3001158,4002374
8083635,3KMP,A:9-132,P70340,9-132,8083636,3KMP,A:9-132,P70340,9-132,"TP=1,CL=1000003,CF=2000735,SF=3001158,FA=4002374",1,1000003,2000735,3001158,4002374
8083637,5NM9,A:9-130,B3S7S5,9-130,8083638,5NM9,A:9-130,B3S7S5,9-130,"TP=1,CL=1000003,CF=2000735,SF=3001158,FA=4002374",1,1000003,2000735,3001158,4002374
8083639,5MF0,B:14-138,Q13485,14-138,8083640,5MF0,B:14-138,Q13485,14-138,"TP=1,CL=1000003,CF=2000735,SF=3001158,FA=4002374",1,1000003,2000735,3001158,4002374
8083641,3QSV,A:10-138,P97471,10-138,8083642,3QSV,A:10-138,P97471,10-138,"TP=1,CL=1000003,CF=2000735,SF=3001158,FA=4002374",1,1000003,2000735,3001158,4002374
8093889,6H3R,A:10-170,B7Z5N5,10-140,8093890,6H3R,A:10-170,B7Z5N5,10-140,"TP=1,CL=1000003,CF=2000735,SF=3001158,FA=4002374",1,1000003,2000735,3001158,4002374
8094720,6FZT,A:5-135,O15198,8-138,8094721,6FZT,A:5-135,O15198,8-138,"TP=1,CL=1000003,CF=2000735,SF=3001158,FA=4002374",1,1000003,2000735,3001158,4002374
8094776,6TBZ,A:9-135,Q56I99,12-135,8094777,6TBZ,A:9-135,Q56I99,12-135,"TP=1,CL=1000003,CF=2000735,SF=3001158,FA=4002374",1,1000003,2000735,3001158,4002374
8094778,6FZS,B:10-136,Q99717,10-136,8094779,6FZS,B:10-136,Q99717,10-136,"TP=1,CL=1000003,CF=2000735,SF=3001158,FA=4002374",1,1000003,2000735,3001158,4002374
8045713,3MAY,B:40-132,O53654,41-133,8091614,3MAY,B:40-132,O53654,41-133,"TP=1,CL=1000000,CF=2001472,SF=3002527,FA=4004634",1,1000000,2001472,3002527,4004634
8023117,1AFJ,A:1-72,P04129,20-91,8035497,1AFJ,A:1-72,P04129,20-91,"TP=1,CL=1000003,CF=2000014,SF=3001159,FA=4001253",1,1000003,2000014,3001159,4001253
8023119,2AW0,A:1-72,Q04656,375-446,8035499,2AW0,A:1-72,Q04656,375-446,"TP=1,CL=1000003,CF=2000014,SF=3001159,FA=4001253",1,1000003,2000014,3001159,4001253
8023120,1CC8,A:2-73,P38636,2-73,8035500,1CC8,A:2-73,P38636,2-73,"TP=1,CL=1000003,CF=2000014,SF=3001159,FA=4001253",1,1000003,2000014,3001159,4001253
8023123,1FE0,A:2-67,O00244,2-67,8035503,1FE0,A:2-67,O00244,2-67,"TP=1,CL=1000003,CF=2000014,SF=3001159,FA=4001253",1,1000003,2000014,3001159,4001253
8023130,1CPZ,A:2-68,Q47840,3-69,8035510,1CPZ,A:2-68,Q47840,3-69,"TP=1,CL=1000003,CF=2000014,SF=3001159,FA=4001253",1,1000003,2000014,3001159,4001253
8023131,1QUP,A:2-73,P40202,2-73,8035511,1QUP,A:2-73,P40202,2-73,"TP=1,CL=1000003,CF=2000014,SF=3001159,FA=4001253",1,1000003,2000014,3001159,4001253
8023628,2QIF,A:1-69,O32221,1-69,8036008,2QIF,A:1-69,O32221,1-69,"TP=1,CL=1000003,CF=2000014,SF=3001159,FA=4001253",1,1000003,2000014,3001159,4001253
8025618,1OSD,A:1-72,1OSD_A,1-72,8037997,1OSD,A:1-72,1OSD_A,1-72,"TP=1,CL=1000003,CF=2000014,SF=3001159,FA=4001253",1,1000003,2000014,3001159,4001253
8025912,1P6T,A:2-72,O32220,1-71,8038291,1P6T,A:2-72,O32220,1-71,"TP=1,CL=1000003,CF=2000014,SF=3001159,FA=4001253",1,1000003,2000014,3001159,4001253
8025915,1P6T,A:73-147,O32220,72-146,8038294,1P6T,A:73-142,O32220,72-141,"TP=1,CL=1000003,CF=2000014,SF=3001159,FA=4001253",1,1000003,2000014,3001159,4001253
8029145,1SB6,A:1-64,P73213,1-64,8041524,1SB6,A:1-64,P73213,1-64,"TP=1,CL=1000003,CF=2000014,SF=3001159,FA=4001253",1,1000003,2000014,3001159,4001253
8029486,2GGP,B:2-72,P38995,2-72,8041865,2GGP,B:2-72,P38995,2-72,"TP=1,CL=1000003,CF=2000014,SF=3001159,FA=4001253",1,1000003,2000014,3001159,4001253
8031484,1MWZ,A:2-74,P37617,46-118,8043862,1MWZ,A:2-74,P37617,46-118,"TP=1,CL=1000003,CF=2000014,SF=3001159,FA=4001253",1,1000003,2000014,3001159,4001253
8061464,4Y2I,A:1-64,A0A140UHB4,2-65,8061465,4Y2I,A:1-64,A0A140UHB4,2-65,"TP=1,CL=1000003,CF=2000014,SF=3001159,FA=4001253",1,1000003,2000014,3001159,4001253
8061466,6FF2,A:2-68,Q2FV63,2-68,8061467,6FF2,A:2-68,Q2FV63,2-68,"TP=1,CL=1000003,CF=2000014,SF=3001159,FA=4001253",1,1000003,2000014,3001159,4001253
8064505,2ROE,A:1-66,Q5SHL2,1-66,8064506,2ROE,A:1-66,Q5SHL2,1-66,"TP=1,CL=1000003,CF=2000014,SF=3001159,FA=4001253",1,1000003,2000014,3001159,4001253
8064507,2LQB,A:5-76,P35670,141-212,8064508,2LQB,A:5-76,P35670,141-212,"TP=1,CL=1000003,CF=2000014,SF=3001159,FA=4001253",1,1000003,2000014,3001159,4001253
8064509,3DXS,X:1-74,Q9S7J8,55-128,8064510,3DXS,X:1-74,Q9S7J8,55-128,"TP=1,CL=1000003,CF=2000014,SF=3001159,FA=4001253",1,1000003,2000014,3001159,4001253
8064511,2LDI,A:6-76,Q59998,6-76,8064512,2LDI,A:6-76,Q59998,6-76,"TP=1,CL=1000003,CF=2000014,SF=3001159,FA=4001253",1,1000003,2000014,3001159,4001253
8064513,2GCF,A:1-73,P73241,1-73,8064514,2GCF,A:1-73,P73241,1-73,"TP=1,CL=1000003,CF=2000014,SF=3001159,FA=4001253",1,1000003,2000014,3001159,4001253
8064515,1YG0,A:1-66,Q48271,1-66,8064516,1YG0,A:1-66,Q48271,1-66,"TP=1,CL=1000003,CF=2000014,SF=3001159,FA=4001253",1,1000003,2000014,3001159,4001253
8084338,2KT2,A:1-69,P00392,1-69,8084339,2KT2,A:1-69,P00392,1-69,"TP=1,CL=1000003,CF=2000014,SF=3001159,FA=4001253",1,1000003,2000014,3001159,4001253
8096717,2L3M,A:4-71,A0A6H3AJY5,1-68,8096718,2L3M,A:4-71,A0A6H3AJY5,1-68,"TP=1,CL=1000003,CF=2000014,SF=3001159,FA=4001253",1,1000003,2000014,3001159,4001253
8097203,2N4C,A:1-64,A9CJD6,18-81,8097204,2N4C,A:1-64,A9CJD6,18-81,"TP=1,CL=1000003,CF=2000014,SF=3001159,FA=4001253",1,1000003,2000014,3001159,4001253
8100715,2KYZ,A:1-67,Q9WYF6,1-67,8100716,2KYZ,A:1-67,Q9WYF6,1-67,"TP=1,CL=1000003,CF=2000014,SF=3001159,FA=4001253",1,1000003,2000014,3001159,4001253
8020308,1VR4,A:1-103,Q81H14,1-103,8032688,1VR4,A:1-103,Q81H14,1-103,"TP=1,CL=1000003,CF=2000724,SF=3001160,FA=4003633",1,1000003,2000724,3001160,4003633
8031894,1Y2I,A:1-107,Q83LS2,1-107,8044272,1Y2I,A:1-107,Q83LS2,1-107,"TP=1,CL=1000003,CF=2000724,SF=3001160,FA=4003633",1,1000003,2000724,3001160,4003633
8086949,2GTC,A:1-103,Q63F05,1-103,8086950,2GTC,A:1-103,Q63F05,1-103,"TP=1,CL=1000003,CF=2000724,SF=3001160,FA=4003633",1,1000003,2000724,3001160,4003633
8045447,2Y1B,A:47-132,P69411,47-132,8090693,2Y1B,A:47-132,P69411,47-132,"TP=1,CL=1000003,CF=2000724,SF=3001160,FA=4004474",1,1000003,2000724,3001160,4004474
8046567,2JZ7,E:1-81,Q5UBU1,1-81,8090694,2JZ7,E:1-81,Q5UBU1,1-81,"TP=1,CL=1000003,CF=2000724,SF=3001160,FA=4005161",1,1000003,2000724,3001160,4005161
8090698,3QKB,A:1-91,Q03GF5,1-91,8090699,3QKB,A:1-91,Q03GF5,1-91,"TP=1,CL=1000003,CF=2000724,SF=3001160,FA=4003633",1,1000003,2000724,3001160,4003633
8090700,5EVF,A:32-132,A0Q625,32-132,8090701,5EVF,A:53-132,A0Q625,53-132,"TP=1,CL=1000003,CF=2000724,SF=3001160,FA=4007709",1,1000003,2000724,3001160,4007709
8045864,4HVZ,A:37-250,Q44642,37-250,8091413,4HVZ,"A:37-51,A:161-250",Q44642,"37-51,161-250","TP=1,CL=1000003,CF=2000724,SF=3001160,FA=4004729",1,1000003,2000724,3001160,4004729
8045864,4HVZ,A:37-250,Q44642,37-250,8091414,4HVZ,A:52-160,Q44642,52-160,"TP=1,CL=1000003,CF=2000724,SF=3001160,FA=4004729",1,1000003,2000724,3001160,4004729
8047101,4XJX,B:731-896,P10486,731-896,8091622,4XJX,B:731-896,P10486,731-896,"TP=1,CL=1000000,CF=2001473,SF=3002528,FA=4005449",1,1000000,2001473,3002528,4005449
8047102,3EVY,A:662-744,Q5LEB7,662-744,8091626,3EVY,A:662-744,Q5LEB7,662-744,"TP=1,CL=1000000,CF=2001473,SF=3002528,FA=4005449",1,1000000,2001473,3002528,4005449
8020650,1FEU,A:1-185,P56930,1-185,8033030,1FEU,A:1-185,P56930,1-185,"TP=1,CL=1000001,CF=2000737,SF=3001161,FA=4002376",1,1000001,2000737,3001161,4002376
8024432,2RD2,A:339-547,P00962,340-548,8036811,2RD2,A:339-547,P00962,340-548,"TP=1,CL=1000001,CF=2000737,SF=3001161,FA=4002383",1,1000001,2000737,3001161,4002383
8026201,2ZJR,S:1-175,Q9RX88,1-175,8038580,2ZJR,S:1-175,Q9RX88,1-175,"TP=1,CL=1000001,CF=2000737,SF=3001161,FA=4002376",1,1000001,2000737,3001161,4002376
8030159,1DFU,P:1-94,P68919,1-94,8042538,1DFU,P:1-94,P68919,1-94,"TP=1,CL=1000001,CF=2000737,SF=3001161,FA=4002376",1,1000001,2000737,3001161,4002376
8082274,5NRG,S:3-176,Q2G0S0,3-176,8082275,5NRG,S:3-176,Q2G0S0,3-176,"TP=1,CL=1000001,CF=2000737,SF=3001161,FA=4002376",1,1000001,2000737,3001161,4002376
8082276,4WF9,S:3-169,Q2FJE0,3-169,8082277,4WF9,S:3-169,Q2FJE0,3-169,"TP=1,CL=1000001,CF=2000737,SF=3001161,FA=4002376",1,1000001,2000737,3001161,4002376
8082278,5O60,W:4-195,A0R3D2,4-195,8082279,5O60,W:4-195,A0R3D2,4-195,"TP=1,CL=1000001,CF=2000737,SF=3001161,FA=4002376",1,1000001,2000737,3001161,4002376
8092909,4H3S,A:568-809,P13188,568-809,8092910,4H3S,A:568-809,P13188,568-809,"TP=1,CL=1000001,CF=2000737,SF=3001161,FA=4002383",1,1000001,2000737,3001161,4002383
8092912,4YE6,A:566-771,P47897,566-771,8092913,4YE6,A:566-771,P47897,566-771,"TP=1,CL=1000001,CF=2000737,SF=3001161,FA=4002383",1,1000001,2000737,3001161,4002383
8093519,6OGI,v:1-94,D7XH79,1-94,8093520,6OGI,v:1-94,D7XH79,1-94,"TP=1,CL=1000001,CF=2000737,SF=3001161,FA=4002376",1,1000001,2000737,3001161,4002376
8093525,6LKQ,d:1-94,D7Y4U5,1-94,8093526,6LKQ,d:1-94,D7Y4U5,1-94,"TP=1,CL=1000001,CF=2000737,SF=3001161,FA=4002376",1,1000001,2000737,3001161,4002376
8095558,6V3A,U:2-98,B7I7B6,2-98,8095559,6V3A,U:2-98,B7I7B6,2-98,"TP=1,CL=1000001,CF=2000737,SF=3001161,FA=4002376",1,1000001,2000737,3001161,4002376
8096075,6SPF,V:4-191,A0A072ZBM5,4-191,8096076,6SPF,V:4-191,A0A072ZBM5,4-191,"TP=1,CL=1000001,CF=2000737,SF=3001161,FA=4002376",1,1000001,2000737,3001161,4002376
8096331,5NGM,AT:2-95,A0A133Q8Z9,4-97,8096332,5NGM,AT:2-95,A0A133Q8Z9,4-97,"TP=1,CL=1000001,CF=2000737,SF=3001161,FA=4002376",1,1000001,2000737,3001161,4002376
8097307,5WF0,V:2-93,B7LAK9,2-93,8097308,5WF0,V:2-93,B7LAK9,2-93,"TP=1,CL=1000001,CF=2000737,SF=3001161,FA=4002376",1,1000001,2000737,3001161,4002376
8097461,6YHS,R:3-98,D0C9L7,8-103,8097462,6YHS,R:3-98,D0C9L7,8-103,"TP=1,CL=1000001,CF=2000737,SF=3001161,FA=4002376",1,1000001,2000737,3001161,4002376
8099013,5V7Q,V:6-182,P9WHB5,6-182,8099014,5V7Q,V:6-182,P9WHB5,6-182,"TP=1,CL=1000001,CF=2000737,SF=3001161,FA=4002376",1,1000001,2000737,3001161,4002376
8100113,5IZN,H:1-92,Q8D8W6,1-92,8100114,5IZN,H:1-92,Q8D8W6,1-92,"TP=1,CL=1000001,CF=2000737,SF=3001161,FA=4002376",1,1000001,2000737,3001161,4002376
8045715,3SWY,B:3-46,Q16281,626-669,8091635,3SWY,B:3-46,Q16281,626-669,"TP=3,CL=1000000,CF=2000962,SF=3002529,FA=4004636",3,1000000,2000962,3002529,4004636
8045716,3SWF,B:5-60,Q00194,621-676,8091636,3SWF,B:5-60,Q00194,621-676,"TP=3,CL=1000000,CF=2000962,SF=3002529,FA=4004636",3,1000000,2000962,3002529,4004636
8020704,1V9V,A:8-108,O60307,181-281,8033084,1V9V,A:8-108,O60307,181-281,"TP=1,CL=1000000,CF=2001119,SF=3001162,FA=4001254",1,1000000,2001119,3001162,4001254
8066213,2M9X,A:12-112,Q9Y2H9,187-287,8066214,2M9X,A:12-112,Q9Y2H9,187-287,"TP=1,CL=1000000,CF=2001119,SF=3001162,FA=4001254",1,1000000,2001119,3001162,4001254
8045719,2QNU,A:4-214,Q9I756,4-214,8091650,2QNU,A:4-214,Q9I756,4-214,"TP=1,CL=1000003,CF=2001474,SF=3002531,FA=4004639",1,1000003,2001474,3002531,4004639
8026137,1PBW,A:115-298,P27986,115-298,8038516,1PBW,A:115-298,P27986,115-298,"TP=1,CL=1000000,CF=2000738,SF=3001163,FA=4001255",1,1000000,2000738,3001163,4001255
8026139,1GRN,B:260-456,Q07960,237-433,8038518,1GRN,B:260-456,Q07960,237-433,"TP=1,CL=1000000,CF=2000738,SF=3001163,FA=4001255",1,1000000,2000738,3001163,4001255
8026140,1F7C,A:191-381,Q5ZMW5,383-573,8038519,1F7C,A:191-381,Q5ZMW5,383-573,"TP=1,CL=1000000,CF=2000738,SF=3001163,FA=4001255",1,1000000,2000738,3001163,4001255
8053472,3QIS,A:678-896,Q01968,678-896,8053473,3QIS,A:678-896,Q01968,678-896,"TP=1,CL=1000000,CF=2000738,SF=3001163,FA=4001255",1,1000000,2000738,3001163,4001255
8018872,3FAY,A:962-1339,P46940,962-1339,8057912,3FAY,A:1010-1200,P46940,1010-1200,"TP=1,CL=1000000,CF=2000738,SF=3001163,FA=4001262",1,1000000,2000738,3001163,4001262
8018874,1NF1,A:1206-1550,P21359,1206-1550,8057919,1NF1,A:1250-1400,P21359,1250-1400,"TP=1,CL=1000000,CF=2000738,SF=3001163,FA=4001262",1,1000000,2000738,3001163,4001262
8018882,1WER,A:718-1041,P20936,718-1041,8057921,1WER,A:763-1010,P20936,763-1010,"TP=1,CL=1000000,CF=2000738,SF=3001163,FA=4001262",1,1000000,2000738,3001163,4001262
8018886,3BXJ,B:399-711,Q9QUH6,414-726,8057928,3BXJ,B:443-590,Q9QUH6,458-605,"TP=1,CL=1000000,CF=2000738,SF=3001163,FA=4001262",1,1000000,2000738,3001163,4001262
8018905,1XA6,A:271-466,P52757,273-468,8057939,1XA6,A:271-466,P52757,273-468,"TP=1,CL=1000000,CF=2000738,SF=3001163,FA=4001255",1,1000000,2000738,3001163,4001255
8079456,6D81,A:113-298,P23727,113-298,8079457,6D81,A:113-298,P23727,113-298,"TP=1,CL=1000000,CF=2000738,SF=3001163,FA=4001255",1,1000000,2000738,3001163,4001255
8079458,2XS6,A:109-294,O00459,109-294,8079459,2XS6,A:109-294,O00459,109-294,"TP=1,CL=1000000,CF=2000738,SF=3001163,FA=4001255",1,1000000,2000738,3001163,4001255
8079460,2OSA,A:264-459,P15882,264-459,8079461,2OSA,A:264-459,P15882,264-459,"TP=1,CL=1000000,CF=2000738,SF=3001163,FA=4001255",1,1000000,2000738,3001163,4001255
8079462,5C5S,C:112-319,Q13459,1693-1900,8079463,5C5S,C:112-319,Q13459,1693-1900,"TP=1,CL=1000000,CF=2000738,SF=3001163,FA=4001255",1,1000000,2000738,3001163,4001255
8079464,5IRC,A:1242-1439,P81128,1242-1439,8079465,5IRC,A:1242-1439,P81128,1242-1439,"TP=1,CL=1000000,CF=2000738,SF=3001163,FA=4001255",1,1000000,2000738,3001163,4001255
8079466,3FK2,A:1242-1437,Q9NRY4,1242-1437,8079467,3FK2,A:1242-1437,Q9NRY4,1242-1437,"TP=1,CL=1000000,CF=2000738,SF=3001163,FA=4001255",1,1000000,2000738,3001163,4001255
8079468,5MY3,A:19-218,P38339,467-666,8079469,5MY3,A:19-218,P38339,467-666,"TP=1,CL=1000000,CF=2000738,SF=3001163,FA=4001255",1,1000000,2000738,3001163,4001255
8079470,3IUG,A:367-568,A7KAX9,367-568,8079471,3IUG,A:367-568,A7KAX9,367-568,"TP=1,CL=1000000,CF=2000738,SF=3001163,FA=4001255",1,1000000,2000738,3001163,4001255
8079472,5JCP,B:906-1100,Q8WWN8,906-1100,8079473,5JCP,B:906-1100,Q8WWN8,906-1100,"TP=1,CL=1000000,CF=2000738,SF=3001163,FA=4001255",1,1000000,2000738,3001163,4001255
8079474,3WPS,A:346-546,Q9H0H5,346-546,8079475,3WPS,A:346-546,Q9H0H5,346-546,"TP=1,CL=1000000,CF=2000738,SF=3001163,FA=4001255",1,1000000,2000738,3001163,4001255
8084521,3MSX,B:360-551,Q9P2F6,360-551,8084522,3MSX,B:360-551,Q9P2F6,360-551,"TP=1,CL=1000000,CF=2000738,SF=3001163,FA=4001255",1,1000000,2000738,3001163,4001255
8084523,3BYI,A:262-471,Q53QZ3,262-471,8084524,3BYI,A:262-471,Q53QZ3,262-471,"TP=1,CL=1000000,CF=2000738,SF=3001163,FA=4001255",1,1000000,2000738,3001163,4001255
8084525,2EE4,A:8-209,Q13017,1255-1456,8084526,2EE4,A:8-209,Q13017,1255-1456,"TP=1,CL=1000000,CF=2000738,SF=3001163,FA=4001255",1,1000000,2000738,3001163,4001255
8094842,6GVC,S:568-790,Q8C0D4,615-837,8094843,6GVC,S:568-790,Q8C0D4,615-837,"TP=1,CL=1000000,CF=2000738,SF=3001163,FA=4001255",1,1000000,2000738,3001163,4001255
8045726,3V68,A:2-119,Q8TZE5,2-119,8091653,3V68,A:2-119,Q8TZE5,2-119,"TP=1,CL=1000003,CF=2001475,SF=3002532,FA=4004642",1,1000003,2001475,3002532,4004642
8091652,3V68,A:132-240,Q8TZE5,132-240,8091654,3V68,A:132-240,Q8TZE5,132-240,"TP=1,CL=1000003,CF=2001475,SF=3002532,FA=4004642",1,1000003,2001475,3002532,4004642
8020139,1LLN,A:1-262,Q40772,26-287,8032519,1LLN,A:1-262,Q40772,26-287,"TP=1,CL=1000003,CF=2000739,SF=3001164,FA=4002385",1,1000003,2000739,3001164,4002385
8020278,1M2T,A:1-248,P81446,34-281,8032658,1M2T,A:1-248,P81446,34-281,"TP=1,CL=1000003,CF=2000739,SF=3001164,FA=4002385",1,1000003,2000739,3001164,4002385
8022823,2Q3N,A:2-248,Q9M6E9,22-268,8035203,2Q3N,A:2-248,Q9M6E9,22-268,"TP=1,CL=1000003,CF=2000739,SF=3001164,FA=4002385",1,1000003,2000739,3001164,4002385
8023659,1J1Q,A:1-261,P23339,1-261,8036039,1J1Q,A:1-261,P23339,1-261,"TP=1,CL=1000003,CF=2000739,SF=3001164,FA=4002385",1,1000003,2000739,3001164,4002385
8024468,1NIO,A:1-247,P22851,1-250,8036847,1NIO,A:1-247,P22851,1-250,"TP=1,CL=1000003,CF=2000739,SF=3001164,FA=4002385",1,1000003,2000739,3001164,4002385
8024589,1MRJ,A:1-247,P09989,24-270,8036968,1MRJ,A:1-247,P09989,24-270,"TP=1,CL=1000003,CF=2000739,SF=3001164,FA=4002385",1,1000003,2000739,3001164,4002385
8024592,1BRY,Y:1-247,P33185,24-270,8036971,1BRY,Y:1-247,P33185,24-270,"TP=1,CL=1000003,CF=2000739,SF=3001164,FA=4002385",1,1000003,2000739,3001164,4002385
8024593,1AHC,A:1-246,P16094,24-269,8036972,1AHC,A:1-246,P16094,24-269,"TP=1,CL=1000003,CF=2000739,SF=3001164,FA=4002385",1,1000003,2000739,3001164,4002385
8024598,1CF5,A:1-249,P24817,24-272,8036977,1CF5,A:1-249,P24817,24-272,"TP=1,CL=1000003,CF=2000739,SF=3001164,FA=4002385",1,1000003,2000739,3001164,4002385
8024601,1ABR,A:1-251,P11140,1-251,8036980,1ABR,A:1-251,P11140,1-251,"TP=1,CL=1000003,CF=2000739,SF=3001164,FA=4002385",1,1000003,2000739,3001164,4002385
8024602,1D6A,A:1-262,P10297,23-284,8036981,1D6A,A:1-262,P10297,23-284,"TP=1,CL=1000003,CF=2000739,SF=3001164,FA=4002385",1,1000003,2000739,3001164,4002385
8024603,1QI7,A:1-253,P20656,25-277,8036982,1QI7,A:1-253,P20656,25-277,"TP=1,CL=1000003,CF=2000739,SF=3001164,FA=4002385",1,1000003,2000739,3001164,4002385
